groupid,group_parent,group_img,group_hidden,group_filename,group_minagemonths,group_maxagemonths,group_gender,group_catid,group_order,group_keywords,group_metadesc,group_metatitle,group_desc,group_name,group_minlevelforsee,
"55261","35384","69931/images/Hire_Crockery_Category_HIB.jpg"," ","Party_Hire_Auckland_Crockery_Plates.html","0","0","_","101","100",,"Hire plates bowls cups, saucers and everything else for your party at Partyzone 09 4421442","Hire Plates, bowls, cups etc at PartyZone 09 4421442","Plates, bowls, cups, saucers etc","Hire Crockery","0",
"35464","35384","69931/images/Category_Napkins___Sundries.jpg"," ","Party_Hire_Auckland_Napkins.html","0","0","_","101","100","Hire Napkins Weddings Birthday Events","Hire Napkins for Weddings Birthdays & Special Events","Hire Napkins for Weddings Birthdays & Special Events at PartyZone 09 4421442 ","","Hire Napkins & Sundries","0",
"35461","35384","69931/images/Category_Table_Cover_Round.jpg"," ","Auckland_Party_Hire_Linen_Round_Table_Covers.html","0","0","_","101","100","Hire Round Table Covers Linen Weddings Birthdays Events","Hire Round Table Covers for Weddings Birthdays & Special Events","Hire Round Table Covers for Weddings Birthdays & Special Events at PartyZone 09 4421442 ","","Hire Table Covers - Round","0",
"13400","13357","69931/images/101164/Category_90th.jpg",,"Party_supplies_for-90th.html","0","0","_","97","12","900 Birthday Party Supplies banner Balloons","90th Birthday Party Supplies","90th Birthday Party Supplies at PartyZone 09 4421442 ","","90th","0",
"13399","13357","69931/images/101164/Category_80th.jpg",,"Party_supplies_for-80th.html","0","0","_","97","11","80 Birthday Party Supplies Banners Balloons","Party Supplies for 80th Birthday","80th Birthday Party Supplies at PartyZone 09 4421442 ","","80th","0",
"13325","13295","69931/images/101164/Category_Tablecovers.jpg",,"Party_Table_cloth.html","0","0","_","103","100",,"Party Table Covers - big colour range","Party Table Cloth at PartyZone 09 4421442","Table Cloth/Covers in lots of colours and designs","Table Cloth/Covers & Runners","0",
"13372","13354","69931/images/101164/Category_Pirates.jpg",,"Pirate-Party_supplies.html","0","0","_","104","100","Pirates Party Supplies","Pirates Party Supplies","Pirates Party Supplies at PartyZone 09 4421442 ","","Pirates","0",
"23557","13354","69931/images/categories/Category_Mickey_Mouse.jpg"," ","Mickey-Mouse-party-supplies.html","0","0","_","104","100","Mickey Mouse Childrens Party Supplies","Mickey Mouse Childrens Partyware","Mickey Mouse party supplies at PartyZone 09 4421442 ",,"Mickey & Minnie Mouse","0",
"13390","0","69931/images/101164/Category_Christmas.jpg",,"Christmas_Decorations.html","0","0","_","104","12","Christmas Xmas Decorations","Christmas Party Decorations and Partyware","Christmas & New Year call PartyZone 09 4421442",,"Christmas & New Year","0",
"13389","0","69931/images/101164/Category_Wedding.jpg",,"Wedding_accessories.html","0","0","_","97","16","Wedding Party Cake Decorations Garter Balloons Bubbles  ","Wedding Part Supplies","Wedding accessories at PartyZone 09 4421442",,"Wedding Supplies","0",
"92006","13297","69931/images/categories/Category_SFX_Zombies.jpg"," ","Special_effects_makeup.html","0","0",,"0","100",,,"SFX Makeup & prosthetics Mehron and Woochie brands at PartyZone 09 4421442",,"Special Effects Make Up Zombies","0",
"13320","13270","69931/images/101164/Category_Bubbles.jpg",,"Party_Supplies_Bubbles.html","0","0","_","100","100","Party Supplies Bubbles","Party Bubbles ","Party Bubbles at PartyZone 09 4421442 ","","Bubbles & Stampers","0",
"16199","13297","69931/images/101164/Category_Dressup_Kits.jpg",,"Party_Supplies_costume_accessories.html","0","0","_","99","100","Dress Up Kits Party supplies","Dress Up Kits - the extra things to go with your costume","Dressup Kits at PartyZone 09 4421442","Ears, Tails, Wings etc etc","Dressup Kits","0",
"20955","13297","69931/images/101164/Category_Costume_accessories.jpg",,"party_supplies_costumes.html","0","0","_","99","100","Costume Accessories","Costume Accessories ","Costume Accessories at PartyZone 09 4421442 ","","Costume Accessories","0",
"20951","13354","69931/images/101164/Category_Zorro.jpg",,"zorro_party_supplies.html","0","0","_","104","100","Zorro Party Supplies","Zorro Party Supplies","Zorro Party Supplies at PartyZone 09 4421442 ","","Zorro","0",
"13380","13354","69931/images/101164/Category_Disney_Princess.jpg",,"princess-party-favours_supplies.html","0","0","_","104","100","Disney Princess Children's Party Supplies Amscan Scene Setters Room Border Rolls Add-Ons","Disney Princess Children's Party Supplies","Disney Princess Children's Party Supplies at PartyZone 09 4421442 ","","Disney Princess","0",
"20942","13297","69931/images/101164/Category_Costumes.jpg",,"costume_accessories_party_supplies.html","0","0","_","99","100","Party Supplies Costumes Fancy Dress","Party Costumes & Fancy Dress","Costume Accessories Party Costumes & Fancy Dress  at PartyZone 09 4421442 ",,"Costumes","0",
"82297","13269","69931/images/categories/Category_Projectors.jpg"," ","Hire_projectors_Screens_Auckland.html","0","0","_","101","100",,,"Projector & Screen Hire at PartyZone ph 09 4421442",,"Projectors and Screen Hire","0",
"13300","13292","69931/images/101164/Category_Balloons_11in_Plain.jpg",,"Helium-Balloons.html","0","0","_","100","100",,"Helium Balloons","Helium Balloons at PartyZone 09 4421442 ","These are the ""normal"" size balloons.","Balloons - Helium Quality","0",
"85439","0","69931/images/categories/Religous_Category.jpg"," ",,"0","0",,"0","16",,,,,"Religious / Christening etc","0",
"13395","13357","69931/images/101164/Category_40th.jpg",,"40th_birthday_party_supplies.html","0","0","_","97","7","40 birthday Ruby Wedding Anniversary Party Supplies decorations banner balloon ","40th Birthday Ruby Wedding Party Supplies including decorations banners balloons","40th Birthday Ruby Wedding Party Supplies at PartyZone 09 44221442 ","","40th / Ruby","0",
"20991","13297","69931/images/101164/Category_Tattoo.jpg",,"Party_Supplies_Fancy_Dress_Ideas.html","0","0","_","99","100","Party Supplies Tattoos","Party Tattoos","Party Tattoos at PartyZone 09 4421442","","Tattoos","0",
"19003","13292","69931/images/101164/Category_Custom_Made_Decorations.jpg",,"Balloon_decorations.html","0","0","_","100","100","Balloon Decorations To Order","Balloon Decorations for Parties, Weddings etc","Balloon Decorations To Order for Parties, Weddings etc at PartyZone 09 4421442 ","Creations made to Order","Balloon Decorations To Order","0",
"17343","13300","69931/images/categories/Category_Printed_Balloons_revised.jpg",,"Qualatex-balloons.html","0","0","_","100","100",,"Printed and Special Balloons Themes and Designs","Party Balloons Printed with Themes and Designs at PartyZone 09 4421442 ","Printed Balloons with ages and designs from Dancing Cows to Hearts!","Helium Balloons - Printed","0",
"13334","13297","69931/images/101164/Category_Masks.jpg",,"Masquerade-party_Masks_supplies.html","0","0","_","99","100","Party Supplies Masks Masquerade Halloween","Party Masks for Masquerade, Halloween etc","Party Masks for Masquerade, Halloween etc at PartyZone 09 4421442","Great range from Phantom to Zorro and some very exotic Masquerade ones too!","Masks","0",
"19566","0","69931/images/101164/Category_Love.jpg",,"Valentines_gifts.html","0","0","_","97","15","Balloon in a box Love","Balloons andf Balloon in a Box to Express Your Love","Valentines Gifts to Express Your Love at PartyZone 09 4421442",,"Valentines Gifts & Love","0",
"22184","0","69931/images/101164/Category_Engagement.jpg"," ","Engagement_Party.html","0","0","_","101","13","Engagement Party Banner Balloons ","Engagement Party Supplies","Engagement Party Supplies call PartyZone 09 4421442",,"Engagements","0",
"91292","13354","69931/images/categories/Category_Transformers.jpg"," ",,"0","0",,"0","100",,,,,"Transformers","0",
"104002","13292","69931/images/categories/Category_Modelling_Balloons_260Q.jpg"," ","Modelling_Balloons.html","0","0",,"0","100",,,"Modelling Balloons for Twisting into Animals at PartyZone 09 4421442","Balloons for twisting","Modelling Balloons","0",
"104010","13300","69931/images/categories/Category_Helium_Balloons_Individual.jpg"," ","Qualatex_Balloons_helium_quality.html","0","0",,"0","100",,,"Qualatex Helium quality balloons - flat or with helium fill - mix and match","Buy from 1 to 100's mix and match either flat or filled. We use Qualatex.","Balloons Helium - Individual","0",
"104005","13300","69931/images/categories/Pack_of_25_BTG.jpg"," ","Helium_balloons_in_packs.html","0","0",,"0","100",,,"Helium quality balloons in packs of 25 or 100 at PartyZone 09 4421442","Excellent quality helium balloons - good floating time","Balloons Helium - Packets","0",
"104017","13354","69931/images/categories/Category_Disney_Frozen.jpg"," ","Frozen_Party_Supplies.html","0","0",,"0","100",,,"Disney Frozen party supplies at PartyZone 094421442",,"Disney Frozen","0",
"23085","13270","69931/images/101164/Category_Glow_Sticks.jpg"," ","Party_Supplies_Glow_Sticks_wristbands.html","0","0","_","100","100","Party Supplies Glow Sticks","Glow Sticks are Great Fun - ours are good quality and glow for a long time","Glow Sticks Wristbands Ice cubes at PartyZone 09 4421442",,"Glowsticks & Wristbands etc","0",
"13314","13293","69931/images/101164/Category_Confetti_Scatters.jpg",,"Table-scatters_party_supplies.html","0","0","_","100","100","Confetti Scatters Party Supplies Decorations","Confetti and Scatters for Party Decorations","Confetti and Scatters for Party Decorations at PartyZone 09 4421442 ","","Confetti/Scatters","0",
"13311","13293","69931/images/101164/Category_Banners_Flags___Bunting.jpg",,"Birthday-Party-Banners-Flags-Bunting.html","0","0","_","100","100","Banners Flags and Bunting Party Supplies decorations","Banners Flags and Bunting Party decorations","Banners Flags & Bunting Party decorations at PartyZone 09 4421442 ","","Banners, Flags & Bunting","0",
"13310","13293","69931/images/101164/Category_Streamers___Fun_Tapes.jpg",,"birthday-party_supplies_tapes.html","0","0","_","100","100","Streamers Fun Tapes Party Supplies decorations","Streamers & Fun Tapes for Party decorations","Streamers & Fun Tapes for Party decorations at PartyZone 09 4421442 ","Big range of 25 & 50M Rolls - All Sorts of Messages","Streamers & Fun Tapes","0",
"23558","13354","69931/images/categories/Category_Ben_10.jpg"," ","Ben-10_party_supplies.html","0","0","_","104","100","Ben 10, Childrens Party Supplies","Ben 10 Partyware","Ben 10 PartyWare at PartyZone 09 4421442 ","","Ben 10","0",
"109540","13354","69931/images/101164/categories/Wall_Deco_Marvel_Avenger.jpg"," ","Marvel_Avengers.html","0","0",,"0","100",,,"Marvel Avengers partyware at Partyzone 09 4421442",,"Marvel Avengers","0",
"114690","13293","69931/images/101164/categories/LED_Lights_category.jpg"," ","LED_decorative_lights_for_weddings.mtml.html","0","0",,"0","100",,,"Decorative LED lights for beautiful wedding centrepieces & table decoartions at PartyZone 09 4421442","LED lights for table & floral decorations - low voltage.","LED Decorative Lights","0",
"13303","13292","69931/images/101164/Category_Foil_Balloons.jpg",,"Foil-Helium-Balloons.html","0","0","_","100","100","Foil Balloons In a Box Helium Gas ","Foil Balloons and Ballon In a Box","Foil Balloons at PartyZone 09 4421442 ","Huge Range in store - we can't show them all as they change so often - please ask about these.","Foil Balloons & Bubbles","0",
"114790","13295","69931/images/101164/categories/Spots_and_Stripes_Category.jpg"," ",,"0","0",,"0","100",,,,,"Stripes and Dots","0",
"114932","13297","69931/images/101164/categories/Photo_Props_Category.jpg"," ",,"0","0",,"0","100",,,,"Great fun or selfies","Photo Props","0",
"113452","13353","69931/images/101164/categories/1930s_Gangster_Theme.jpg"," ",,"0","0",,"0","2",,,,,"1930s Gangsters and Jazz","0",
"13360","13353","69931/images/101164/Category_Disco.jpg",,"Disco-party_supplies.html","0","0","_","104","7","Disco Party Supplies Amscan Scene Setters Room Border Rolls Add-Ons Cut Outs Decorations ","Disco Party Supplies","Disco Party Supplies at PartyZone 09 4421442 ",,"Disco, 60's and 70's","0",
"13396","13357","69931/images/101164/Category_50th.jpg",,"Party_supplies_for-50th.html","0","0","_","97","8","50 birthday Party Golden Wedding Party Supplies balloons banner decorations  ","50th Birthday / Golden Wedding Anniversary Party Supplies","50th Birthday / Golden Wedding Anniversary Party Supplies at PartyZone 09 4421442 ",,"50th / Over the Hill / Gold","0",
"54203","13353","69931/images/International_Flag.jpg"," ","Party-Supplies-International-Flags.html","0","0","_","104","10","","","Party Supplies International Flag Party Supplies at PartyZone 09 4421442 ",,"International Flags","0",
"13357","0","69931/images/101164/Category_Adult_Birthdays___Anniversaries.jpg",,"Adult-Birthday.html","0","0","_","97","4","16 18 21 25 30 40 50 60 70 80 90 100 Silver Ruby Gold Adults Birthday Parties ","Adult Birthdays & Anniversaries 16 to 100","Adult Birthday & Anniversaries 16 to 100 at PartyZone 09 4421442 ","16th to 100th","Adult Birthday & Anniversary","0",
"13398","13357","69931/images/101164/Category_70th.jpg",,"for-70th-birthday.html","0","0","_","97","10","70 Birthday Party Wedding anniversary supplies","70th Birthday Party / Wedding Anniversary Party Supplies","70th Birthday Party / Wedding Annive rsary Party Supplies at PartyZone 09 4421442 ","","70th","0",
"13368","13353","69931/images/101164/Category_Racing.jpg",,"Racing-Party-supplies.html","0","0","_","104","14","Racing Party Supplies Chequered Flag Banner","Racing Party Supplies","Racing Party Supplies at PartyZone 09 4421442 ","","Racing / Black White Check","0",
"84971","13353","69931/images/categories/80_s_Category.jpg"," ","80s_party.html","0","0","_","104","8",,"80s party decorations","80s party decorations Graffiti and Arcade styles at PartyZone 09 4421442",,"80's Graffiti and Arcade","0",
"20286","13353","69931/images/101164/Category_Baby_Shower.jpg",,"Baby-Shower_party_supplies.html","0","0","_","104","4","Baby Shower Party Supplies Banner balloons ","Baby Shower Party supplies","Baby Shower Party supplies at PartyZone 09 4421442 ","","Baby Shower","0",
"13397","13357","69931/images/Category_60th_and_65th.jpg",,"Party_supplies_for_60th.html","0","0","_","97","9","60 birthday Party Diamond Wedding Anniversary Banner Balloon decorations ","60th Birthday / Diamond Wedding Anniversary Party Supplies","60th Birthday / Diamond Wedding Anniversary Party Supplies at PartyZone 09 4421442 ","","60th / Diamond / 65th","0",
"13270","0","69931/images/101164/Category_Party_Supplies.jpg",,"Party-Supplies.html","0","0","_","97","10","Party Decorations Themes Candles Wigs Masks Hats Amscan Theme Setters Tableware","Everything you need for a great party - decorations, dressups & costumes, themes, flags, banners, candles etc...","Party Supplies at PartyZone 09 4421442 ",,"Party Supplies & Products","0",
"66698","13353","69931/images/British_Union_Jack_Category.jpg"," ","British-Union-Jack-party_supplies.html","0","0","_","104","5",,"British Union Jack party supplies and all your party needs at PartyZone 09 4421442 ","British Union Jack party supplies at PartyZone 09 4421442 ",,"British / Union Jack","0",
"13362","13353","69931/images/101164/Category_Fiesta.jpg",,"Fiesta-Party-Decorations-supplies.html","0","0","_","104","9","Fiesta Party Supplies Amscan Scene Setters Add-Ons Border Room Rolls Decorations ","Fiesta Party Supplies","Fiesta Party Supplies at PartyZone 09 4421442 ","","Fiesta","0",
"19783","13353","69931/images/101164/Category_St_Patricks_Day.jpg",,"St-Patricks_party_supplies.html","0","0","_","104","16","St Patricks Day Party Supplies Hats Decorations Banner Shamrock","St Patricks Day Party Supplies","St Patricks Day Party Supplies at PartyZone 09 4421442 ","","St Patricks Day / Irish","0",
"20979","13353","69931/images/101164/Category_Casino.jpg",,"Casino-Party-Decorations.html","0","0","_","104","6",,"Casino Party Supplies","Casino Party Supplies at PartyZone 09 4421442 ","","Casino Party","0",
"13297","0","69931/images/101164/Category_Dressup.jpg",,"Costume_Accessories.html","0","0","_","101","9","Party Supplies Costumes Masks Wigs Tattoos Hats Moustaches Beards ","Party Costumes, Masks, Wigs, Tattoos, Hats, Moustaches, Beards and Lots of Accessories","Costumes accessories, Masks, Wigs, Tattoos, Hats, Moustaches, Beards & Lots of Accessories",,"Costume Dressup and Makeup SFX","0",
"13353","0","69931/images/101164/Category_Adult_Themes.jpg",,"Party_Themes.html","0","0","_","101","5","Cowboy Western Luau Disco Rock & Roll 50's 60's 70's Casino Masquerade Fiesta","Party Themes including Western Luau Disco Rock & Roll 50's 60's 70's Casino Masquerade Fiesta","Party Themes for Adults and lots more at PartyZone 09 4421442 ",,"Party Themes for Adults","0",
"20981","13353","69931/images/101164/Category_Western_Cowboy.jpg",,"Cowboy-party-hats.html","0","0","_","104","18","Western Cowboy Party Supplies Decorations Amscan Scene Setters Room Border Rolls Add-Ons Cut Outs","Western Cowboy Party Supplies","Western Cowboy Party Supplies at PartyZone 09 4421442 ","","Western / Cowboy","0",
